Customer_Id,Annual_Income,Annual_Spend,Monthly_Visits,Avg_Order_Value,Customer_Tenure_Years,Gender,Payment_Method,cluster,predicted_segment_name
C00001,57038.20012,2024.833926,8,209.2027499,8,Female,Store,1,Regular Customers
C00002,33375.2525,587.2623326,4,136.2422356,6,Male,Mobile App,3,Budget Shoppers
C00003,171307.63754124998,9718.062708,19,468.9121917,8,Female,Store,0,Loyal Customers
C00004,56825.77387,2370.381489,5,434.3615361,9,Female,Store,1,Regular Customers
C00005,56135.51166,554.3692207,1,550.5544628,7,Male,Mobile App,3,Budget Shoppers
C00006,28819.57902,700.9675354,1,478.4117363,7,Female,Online,3,Budget Shoppers
C00007,56135.51166,2069.413454,9,203.4951704,6,Female,Store,1,Regular Customers
C00008,171307.63754124998,10036.1041214875,17,620.6461032,8,Male,Store,0,Loyal Customers
C00009,49131.53632,1957.374937,6,311.942104,3,Female,Store,1,Regular Customers
C00010,33438.51235,487.0378165,4,129.4321134,5,Male,Store,3,Budget Shoppers
C00011,53960.83707,1763.184761,8,219.0968005,4,Female,Store,1,Regular Customers
C00012,90906.05264,5805.921849,9,602.5909398,2,Male,Mobile App,2,Premium Customers
C00013,143548.6136,10036.1041214875,20,734.2596713,7,Female,Store,0,Loyal Customers
C00014,71028.17353,5356.809878,9,524.8473214,7,Female,Online,2,Premium Customers
C00015,26349.97457,505.9023463,2,206.0061774,4,Male,Online,3,Budget Shoppers
C00016,27327.10589,391.1715962,3,158.1350714,6,Male,Store,3,Budget Shoppers
C00017,164219.7747,10036.1041214875,16,608.7372392,5,Male,Online,0,Loyal Customers
C00018,66480.73034,2376.340799,7,317.0876065,9,Female,Store,1,Regular Customers
C00019,154530.8737,10036.1041214875,16,620.875936,9,Female,Online,0,Loyal Customers
C00020,171307.63754124998,10036.1041214875,18,583.5953393,6,Male,Mobile App,0,Loyal Customers
C00021,95374.80281,3912.735611,10,365.1877716,7,Female,Mobile App,2,Premium Customers
C00022,71500.98189,5053.36375,10,463.1087593,9,Male,Store,2,Premium Customers
C00023,149803.0296,10036.1041214875,16,633.9347379,1,Male,Online,0,Loyal Customers
C00024,98138.44967,4433.87584,9,465.2843879,4,Male,Online,2,Premium Customers
C00025,29527.47492,585.752507,3,127.7892398,1,Female,Store,3,Budget Shoppers
C00026,30724.17476,514.4942852,3,133.1061798,9,Male,Store,3,Budget Shoppers
C00027,53738.87071,1565.748632,6,216.7332848,5,Male,Online,1,Regular Customers
C00028,63609.29766,1965.502203,8,273.4675169,4,Female,Online,1,Regular Customers
C00029,55945.97121,1790.622289,6,227.0688713,7,Male,Online,1,Regular Customers
C00030,34005.67815,516.5202002,2,211.4580757,3,Female,Online,3,Budget Shoppers
C00031,96661.68931,4016.695814,10,393.4341101,6,Male,Online,2,Premium Customers
C00032,49324.9077,1990.604164,7,275.0599312,2,Female,Mobile App,1,Regular Customers
C00033,62927.05842,1847.954656,6,168.9699265,1,Male,Store,1,Regular Customers
C00034,171307.63754124998,10036.1041214875,17,751.125604,9,Female,Online,0,Loyal Customers
C00035,59948.50197,1847.954656,6,304.6388981,5,Female,Store,1,Regular Customers
C00036,61790.58648,1926.59752,8,253.5828205,10,Male,Online,1,Regular Customers
